framework,443,11434,80,8080,3000,8888,8000,8089,9999,8085
AnythingLLM,3726,0,0,0,39,0,0,0,0,0
ComfyUI,14434,0,0,0,0,0,0,0,0,0
FastAPI,0,0,0,1056,0,0,3470,0,0,0
GPT4All,1248,2,586,16,5,1,54,0,0,1
Gradio,9609,0,0,0,0,0,0,0,0,0
Jan,28421,0,0,0,23,0,0,0,0,0
Jupyter Notebook,5426,4,2950,341,22,7275,151,29,572,36
Llamafile,0,0,0,39,0,0,0,0,0,0
NextChat,10482,0,8087,0,7313,0,0,0,0,0
Ollama,3256,32355,2894,1338,408,629,752,971,368,898
Open web UI,26284,0,0,10957,0,0,0,0,0,0
Ray Serve,106,0,122,3,1,0,119,0,0,0
Text Gen Web UI,475,0,282,56,307,13,231,1,8,2
vLLM,5775,0,0,0,0,0,189,0,0,0
llamacpp,3958,0,0,274,0,0,0,0,0,0
