port,tls.version,count
443,TLS 1.3,13660
443,nan,96481
443,TLS 1.2,3057
3000,TLS 1.3,18
3000,nan,8098
8000,nan,4931
8080,nan,14045
8000,TLS 1.3,28
8000,TLS 1.2,7
8080,TLS 1.2,10
8080,TLS 1.3,25
80,nan,13978
80,TLS 1.3,795
80,TLS 1.2,148
11434,nan,32334
8888,nan,7792
8085,nan,933
443,TLS 1.0,2
8888,TLS 1.0,12
8888,TLS 1.3,91
8888,TLS 1.2,23
8089,nan,999
3000,TLS 1.2,2
9999,nan,940
9999,TLS 1.2,2
8085,TLS 1.2,1
9999,TLS 1.0,2
9999,TLS 1.3,4
8085,TLS 1.3,3
11434,TLS 1.3,25
11434,TLS 1.2,2
8089,TLS 1.3,2
